venue_id,venue_name,venue_type,venue_lat,venue_lng,rating,reviews,price_level,h3_cell,open_now,current_busyness,day_mean,fullness_score,relative_score,expected_momentum_score,popularity_score,venue_base_hotness,area_hotness_smoothed,venue_hotness_final
ven_6f457663653677326430615267344273324e4b317665614a496843,Madison Public Library - Monroe Street,LIBRARY,43.0659225,-89.4151868,4.7,35,0,89275800a1bffff,1,0.0,0.0,0.0,0.0,0.0,0.395486,0.039549,0.140198,0.069744
ven_634e784c6957393345784452676f4254706e52714831444a496843,EVP Coffee East,COFFEE,43.0873476,-89.366771,4.6,300,1,89275800cabffff,1,0.0,0.0,0.0,0.0,0.0,0.616449,0.061645,0.078915,0.066826
ven_59505a4b58376b426f6c5152676f425352395f756951654a496843,King of Falafel,RESTAURANT,43.054338,-89.3962348,4.3,387,1,89275800bc3ffff,1,0.0,0.0,0.0,0.0,0.0,0.601882,0.060188,0.082039,0.066743
ven_7376347a5376555961455f52676f425378384c496965344a496843,El Pastor Mexican Restaurant,MEXICAN_RESTAURANT,43.0440435,-89.3944858,4.1,672,1,89275800b0fffff,1,0.0,0.0,0.0,0.0,0.0,0.626909,0.062691,0.074276,0.066166
ven_6f446d2d736b325a465a42526734427357766e553953444a496843,Wings Over Madison,RESTAURANT,43.0736099,-89.4354927,3.9,574,2,89275801d3bffff,1,0.0,58.0,0.0,0.0,0.0,0.581916,0.058192,0.084611,0.066118
ven_6b4543353453627963646152676f4254353268554666594a496843,Asian Kitchen,ASIAN_RESTAURANT,43.0745804,-89.3934415,2.8,45,1,892758008cbffff,1,0.0,31.0,0.0,0.0,0.0,0.251725,0.025172,0.159962,0.065609
ven_553865356d48666a7744685267344273576268734230714a496843,College Library,LIBRARY,43.076757,-89.401256,4.4,79,0,89275800e23ffff,1,0.0,29.0,0.0,0.0,0.0,0.452742,0.045274,0.112807,0.065534
ven_453253554374384a326a44526734427469504a617053304a496843,QQ Express,CHINESE_RESTAURANT,43.0732212,-89.409163,4.5,115,1,89275800a9bffff,1,0.0,35.0,0.0,0.0,0.0,0.502293,0.050229,0.099195,0.064919
ven_776f48733565554648656852676f42543145695066564c4a496843,Public Parking Bar,BAR,43.0821213,-89.379298,4.7,116,0,89275800c67ffff,1,0.0,19.0,0.0,0.0,0.0,0.525565,0.052556,0.085288,0.062376
ven_675162662d787a5050427252676f4254467a7a6543624f4a496843,Main Depot,BAR,43.0673138,-89.3920779,4.5,204,1,89275800847ffff,1,0.0,0.0,0.0,0.0,0.0,0.562462,0.056246,0.075952,0.062158
ven_6742793264315a6f4b70685267344273694d6d665678714a496843,Steenbock's On Orchard,AMERICAN_RESTAURANT,43.0727295,-89.4075541,4.4,193,2,89275800a93ffff,1,0.0,0.0,0.0,0.0,0.0,0.544265,0.054426,0.079562,0.061967
ven_77724b50506c584c38714c52676f4254467a596372565a4a496843,Cafe Social,COFFEE,43.0697008,-89.3939596,4.7,94,1,89275800843ffff,1,0.0,0.0,0.0,0.0,0.0,0.502577,0.050258,0.085977,0.060974
ven_4163727a32384a414d4d785267344273434d71474f394a4a496843,Steenbock Memorial Library,LIBRARY,43.0762592,-89.4130956,4.7,40,0,89275800e6fffff,1,0.0,0.0,0.0,0.0,0.0,0.409839,0.040984,0.077298,0.051878
ven_4d4f667632335f4e504c4e52673442734f4d58626731434a496843,Mickies Dairy Bar,BREAKFAST_RESTAURANT,43.0674484,-89.413019,4.7,1870,1,89275800a13ffff,0,60.0,65.0,0.6,0.615385,1.0,0.831496,0.0,0.172114,0.051634
ven_55753048556e686551537252673442746d624e4b42655f4a496843,Stadium Takeout,RESTAURANT,43.0674065,-89.413163,4.9,433,2,89275800a13ffff,0,0.0,64.0,0.0,0.0,0.0,0.698756,0.0,0.172114,0.051634
ven_6b2d6341435f684379436d52673442742d6c445442384b4a496843,Camp Cantina,MEXICAN_RESTAURANT,43.067508,-89.4128143,4.7,143,1,89275800a13ffff,0,0.0,43.0,0.0,0.0,0.0,0.548481,0.0,0.172114,0.051634
ven_5972434f47613663636f695267344274536b71736a5a344a496843,Pizza Extreme,PIZZA_RESTAURANT,43.0672378,-89.4142024,4.2,0,0,89275800a13ffff,0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.172114,0.051634
